ruta,n_nodos,tiempo_original,tiempo_optimizado,tiempo_opt,gap
ENV-RA-INV-VIE-I,216,16629,13449,3264,7.43549706297866e-05
ENV-RA-INV-SAB-I,180,13851,10965,99,0.0
ENV-RB-INV-VIE,205,15726,12574,585,7.95291872117067e-05
ENV-RM-INV-MIE-I,452,29206,21186,3606,0.13971490607004625
ENV-RA-INV-MIE-I,273,20598,16123,403,0.0
ENV-RM-INV-JUE-P,123,18059,15093,46,6.625588020936858e-05
ENV-RB-INV-LUN-I,271,18212,13745,3602,0.001382320843941664
ENV-RM-INV-JUE-I,150,18930,16589,95,6.028090903610827e-05
ENV-RB-VER-MIE,256,20232,16548,3602,0.00018129079042784627
ENV-RA-VER-LUN,262,15726,11926,537,8.385041086701326e-05
ENV-RA-INV-LUN,324,16311,12727,3602,0.0015714621844176203
ENV-RB-VER-VIE,224,16826,13517,1141,7.39809129206978e-05
ENV-RA-VER-MAR,357,33888,24055,3604,0.00045728538765329454
ENV-RM-INV-VIE-P,407,19555,11042,3603,0.11918130773410614
ENV-RA-INV-SAB-P,172,11875,9502,150,0.0
ENV-RB-VER-SAB,345,26233,19693,3603,0.001472604478748794
ENV-RR-VER-JUE,452,30220,21186,3605,0.03072783913905409
ENV-RM-INV-VIE-I,407,20174,11045,3604,0.12738795835219124
ENV-RA-INV-MAR,340,32295,23562,3561,8.48824378236143e-05
ENV-RB-INV-MIE-I,270,20707,16487,3602,0.0007885000303269243
ENV-RA-VER-SAB,169,12339,9728,92,0.0
ENV-RM-INV-SAB,241,19470,14432,119,6.929046563192905e-05
ENV-RM-INV-SAB-2,26,11155,10704,1,0.0
ENV-RA-INV-JUE-P,270,18607,13653,3226,7.324397568300007e-05
ENV-RA-VER-VIE,209,20100,13118,756,0.0
ENV-RB-INV-JUE,383,22723,16821,3604,0.00112954045536758
ENV-RA-INV-MIE-P,296,23391,16280,1043,0.0
ENV-RB-INV-MIE-P,255,19353,15425,3602,0.0007779578606158833
ENV-RA-INV-VIE-P,221,16631,13572,3601,0.0005894488653109342
ENV-RB-INV-LUN-P,274,18032,13966,3602,0.001217241873119263
ENV-RM-VER-JUE,211,18391,13510,128,0.0
ENV-RA-VER-MIE,173,15420,12041,95,0.0
ENV-RB-VER-JUE,284,20732,15439,3603,0.0021374441350075243
ENV-RM-INV-LUN,315,22205,16511,657,6.056568350510948e-05
ENV-RR-VER-MIE,241,16455,12054,252,8.296001327360213e-05
ENV-RA-VER-JUE,238,17232,13663,586,7.31903681365019e-05
ENV-RM-VER-SAB-2,128,8407,4888,16,0.0
ENV-RM-VER-LUN,387,25565,19827,3605,0.0014122156655066323
ENV-RM-VER-MAR,352,21506,12080,2189,0.0
ENV-RM-INV-MAR,308,16591,10565,544,0.0
ENV-RM-VER-SAB-1,383,22056,16820,3601,0.001367419738431714
ENV-RM-VER-VIE,318,17947,12680,3602,0.08501577287066246
ENV-RM-INV-MIE-P,439,27053,19480,3604,0.0023100616016589206
ENV-RM-VER-MIE,345,29209,21553,2663,9.279450656521133e-05
ENV-RR-VER-LUN,209,14915,12285,3601,0.0004884004883984155
ENV-RR-VER-VIE,204,18486,15304,250,6.534239414532148e-05
ENV-RA-INV-JUE-I,266,17199,13879,3602,0.0004323078031533568
ENV-RB-INV-SAB,273,19716,14663,3601,0.0012957784900770647
ENV-RB-VER-MAR,263,20717,14894,1211,0.0
ENV-RM-VER-SAB-3,26,11009,10704,0,0.0
ENV-RB-INV-MAR,238,20550,14398,734,0.0
ENV-RB-VER-LUN,278,18688,14385,3602,0.0015293708724355558
